timestamp,product_id,category,price,quantity,region,customer_age,channel
2024-01-01 00:00:00,P007,sports,41393.19,4,Mumbai,56,retail
2024-01-01 01:00:00,P004,grocery,38249.94,4,Delhi,29,retail
2024-01-01 02:00:00,P005,food,28719.09,2,Coimbatore,22,online
2024-01-01 03:00:00,P007,sports,47806.75,1,Chennai,19,online
2024-01-01 04:00:00,P003,clothing,10103.68,1,Salem,33,retail
2024-01-01 05:00:00,P008,home,5552.28,1,Delhi,47,online
2024-01-01 06:00:00,P005,food,42712.7,1,Hyderabad,55,online
2024-01-01 07:00:00,P005,food,22013.58,2,Kochi,59,retail
2024-01-01 08:00:00,P007,sports,42363.75,2,Kochi,41,retail
2024-01-01 09:00:00,P002,electronics,44665.2,2,Kochi,47,retail
2024-01-01 10:00:00,P003,clothing,3216.63,2,Mumbai,54,online
2024-01-01 11:00:00,P007,sports,44184.89,1,Hyderabad,56,retail
2024-01-01 12:00:00,P003,clothing,22471.12,4,Bangalore,28,online
2024-01-01 13:00:00,P003,clothing,25570.58,3,Hyderabad,31,retail
2024-01-01 14:00:00,P008,home,31366.97,2,Bangalore,40,online
2024-01-01 15:00:00,P005,food,46326.49,4,Kochi,33,online
2024-01-01 16:00:00,P004,grocery,1053.89,2,Coimbatore,38,retail
2024-01-01 17:00:00,P008,home,23894.49,1,Coimbatore,21,online
2024-01-01 18:00:00,P008,home,34417.33,1,Delhi,50,retail
2024-01-01 19:00:00,P003,clothing,36163.08,4,Bangalore,31,retail
2024-01-01 20:00:00,P006,beauty,34657.37,4,Kochi,36,online
2024-01-01 21:00:00,P005,food,6808.31,4,Hyderabad,22,online
2024-01-01 22:00:00,P002,electronics,15039.84,1,Coimbatore,53,online
2024-01-01 23:00:00,P008,home,17999.9,1,Bangalore,48,retail
2024-01-02 00:00:00,P004,grocery,40241.42,3,Delhi,35,retail
2024-01-02 01:00:00,P006,beauty,14010.12,4,Hyderabad,48,retail
2024-01-02 02:00:00,P006,beauty,10614.18,3,Kochi,47,retail
2024-01-02 03:00:00,P002,electronics,47876.66,2,Chennai,38,retail
2024-01-02 04:00:00,P008,home,542.28,3,Kochi,47,retail
2024-01-02 05:00:00,P004,grocery,49891.26,2,Mumbai,58,online
2024-01-02 06:00:00,P005,food,33873.38,2,Kochi,21,retail
2024-01-02 07:00:00,P001,electronics,41440.62,3,Delhi,22,retail
2024-01-02 08:00:00,P004,grocery,14801.51,4,Hyderabad,58,retail
2024-01-02 09:00:00,P002,electronics,814.33,2,Delhi,27,retail
2024-01-02 10:00:00,P006,beauty,36919.69,4,Hyderabad,44,online
2024-01-02 11:00:00,P005,food,41723.82,1,Salem,33,online
2024-01-02 12:00:00,P004,grocery,37049.76,2,Salem,47,online
2024-01-02 13:00:00,P001,electronics,7228.23,1,Hyderabad,30,retail
2024-01-02 14:00:00,P001,electronics,37696.05,3,Hyderabad,53,retail
2024-01-02 15:00:00,P003,clothing,38469.25,4,Chennai,38,retail
2024-01-02 16:00:00,P003,clothing,32961.17,3,Chennai,57,online
2024-01-02 17:00:00,P007,sports,38329.19,2,Kochi,32,retail
2024-01-02 18:00:00,P002,electronics,42311.48,1,Delhi,37,retail
